"","P21452_153","P21452_161","P21452_165","P21452_169","P21452_173","P21452_177","P21452_181","P21452_189"
"PS_chr07_G030752",150.086,181.441,131.521,334.702,69.791,321.875,83.098,112.309
"PS_chr07_G030753",27,28,67,33,61,7,34,60.022
"PS_chr07_G030754",0,0,0,0,0,0,0,0
"PS_chr07_G030755",409.958,269.371,84.018,278.781,84.767,481.007,24,71
"PS_chr07_G030756",35,39,4,29,40,23.444,28,1
"PS_chr07_G030757",2698.55,2523.475,2790.115,2950.434,4109.891,1828.562,1758.614,3837.387
"PS_chr07_G030758",205.997,178,492.525,275.059,396.111,171.17,193.989,519.278
"PS_chr07_G030759",108,103,207,143,285.061,66,118,184.109
"PS_chr07_G030760",1221.997,736.165,2584.039,2473.932,4358.304,1276.007,2308.447,3887.677
"PS_chr07_G030761",0,0,0,0,0,0,0,0
"PS_chr07_G030762",337,220.155,360.001,213.541,804.093,295.025,516.264,718.515
"PS_chr07_G030763",47,66,46,42,106.991,39,65.082,81
"PS_chr07_G030764",22,17,16,5,129.316,9,64,74
"PS_chr07_G030765",236,198.375,355,380.177,487.111,218.115,262.975,551.382
"PS_chr07_G030766",205,226,335,283.025,246.191,185,170.304,289.976
"PS_chr07_G030767",0,0,0,0,0,0,0,0
"PS_chr07_G030768",1130.496,841.039,831.162,1171.221,1737.272,734.392,492.652,1257.403
"PS_chr07_G030770",0,0,0,0,1,1,2,2
"PS_chr07_G030771",2017,1773.829,2383.257,2577.19,3983.102,1458.854,2145.866,3648.109
"PS_chr07_G030773",0,0,10,5,70,0,41,4
"PS_chr07_G030774",15.626,4.479,17.648,16.345,131.144,18.199,11.526,14.242
"PS_chr07_G030775",3.374,12.521,13.352,26.655,11.856,2.801,11.474,43.074
"PS_chr07_G030776",13.447,4.203,57.49,46.433,46.019,5.801,11.389,26.156
"PS_chr07_G030777",0,0,0,3.17,25.593,0,9.078,0
"PS_chr07_G030778",0,3,3,3,5.473,0,0,6.209
"PS_chr07_G030779",0,0,0,0,0,6.222,0,12.209
"PS_chr07_G030780",261.994,258,422.073,329.823,532.091,238,227.876,498.025
"PS_chr07_G030781",0,0,0,2.138,1.001,0,3.124,3
"PS_chr07_G030782",0,0,0,0,0,0,0,0
"PS_chr07_G030783",0,0,0,2,1,0,1,0
"PS_chr07_G030786",367.602,325.926,560.764,473.045,709.312,308.089,284.023,501.54
"PS_chr07_G030789",83.422,139.049,80.08,65.597,70.806,56.155,32.208,114.123
"PS_chr07_G030790",110.89,128.98,423.973,78.177,232.627,22.133,31.193,219.649
"PS_chr07_G030791",101.299,79.863,292.909,17.445,796.832,379.251,373.049,850.075
"PS_chr07_G030792",0,8.726,9.263,0,13.037,2.442,19.681,11.476
"PS_chr07_G030793",130.317,154.99,506.533,141.412,848.665,145.058,234.384,538.32
"PS_chr07_G030794",150.266,238.47,814.129,237.065,1773.103,315.674,483.699,1115.019
"PS_chr07_G030796",185.029,167.971,849.611,505.961,510.597,232.461,161.42,337.168
"PS_chr07_G030797",0,0,0,0,3,4,0,4
"PS_chr07_G030798",0,0,11.599,2.505,49.378,1,0,23.966
"PS_chr07_G030799",56,13,53,47,86,46,19,33
"PS_chr07_G030800",2,7,8,0,0,4,8,0
"PS_chr07_G030801",6312.12,4450.061,4265.365,7076.908,6273.939,4774.381,2762.126,5481.231
"PS_chr07_G030807",1,3,6,2,0,0,3,0
"PS_chr07_G030808",172,69,160.088,176.886,414.139,176.014,120.732,292.023
"PS_chr07_G030809",0,0,0,0,0,0,0,0
"PS_chr07_G030810",59,28,76,84.312,167.844,37,45,122.97
"PS_chr07_G030815",4,18.146,17.7,6,41.104,3.103,19.429,20.131
"PS_chr07_G030816",325.721,329.915,363.113,390.216,453.139,205.897,205.055,448.426
"PS_chr07_G030817",0,0,1.1,0,1.326,0,0,2.581
"PS_chr07_G030818",0,0,2,0,1,0,1,1
"PS_chr07_G030820",21.614,33.999,54.012,11.43,93.051,7.202,14.48,34
"PS_chr07_G030821",49.491,42.408,36.506,85.496,208.505,76.959,59.024,69.191
"PS_chr07_G030822",0,0,1.092,0,19.299,10.858,4.299,4.805
"PS_chr07_G030823",0,0,0,0,0,0,0,0
"PS_chr07_G030824",381,269,857.889,894.733,765.03,255.005,259,578.875
"PS_chr07_G030825",36.297,6.217,39.433,92.064,188.964,26.843,47.192,78.069
"PS_chr07_G030826",20.615,2.369,6.349,12.633,24.025,12.055,9.858,31.487
"PS_chr07_G030827",371,352.821,333,509.043,519.335,218.045,276.154,498.147
"PS_chr07_G030829",594.957,626.723,636,922.291,473.15,477.488,312.126,599.376
"PS_chr07_G030830",0,0,5.613,2.139,6.386,0,5.443,5.372
"PS_chr07_G030831",0,0,0,0,1.428,0,0,0
"PS_chr07_G030832",4,2,6,12,0,7,1,1
"PS_chr07_G030833",522,371.001,451,497,648.002,390,414,509.004
"PS_chr07_G030834",0,0,0,0,0,0,0,0
"PS_chr07_G030835",0,0,0,0,0,0,0,0
"PS_chr07_G030837",74,52,186.002,22,96,33,78.002,46
"PS_chr07_G030838",90517.241,78245.898,60859.406,93466.012,122878.778,62447.204,34910.833,65032.358
"PS_chr07_G030839",542,395,468.36,692.71,1148.676,478.072,331,778.135
"PS_chr07_G030840",0,0,0,0,0,0,0,0
"PS_chr07_G030842",75.013,149,476.857,58,684.805,74,653.452,841.908
"PS_chr07_G030843",525.666,680.049,560.379,507.003,700.817,375,392.539,600.451
"PS_chr07_G030844",0,0,0,0,0,0,0,0
"PS_chr07_G030845",20,7,32,34,18,21,2,5
"PS_chr07_G030846",1,0,12,14,2,0,0,0
"PS_chr07_G030847",231.568,200,544.023,425.455,472.583,119,197,408.611
"PS_chr07_G030848",1471.694,1252.373,1617.532,1239.764,1949.987,1075.878,799.181,1450.316
"PS_chr07_G030849",33.034,41.551,13.347,44.598,85.524,36.877,36.906,14.882
"PS_chr07_G030850",0,0,0,0,0,0,0,3
"PS_chr07_G030851",0,0,0,0,0,0,0,0
"PS_chr07_G030852",0,0,0,0,0,0,0,0
"PS_chr07_G030853",4.222,0,0,0,0,5.769,1.347,0
"PS_chr07_G030854",187,183.052,206,179.114,290.664,147,116.03,267.916
"PS_chr07_G030855",1,0,8,0,5,3,0,2
"PS_chr07_G030856",1,0,0,3,2,0,0,0
"PS_chr07_G030857",291.378,300.999,168,550.264,207.976,264,74,291
"PS_chr07_G030858",26,34,100,82,137.965,58,34,180
"PS_chr07_G030860",0,0,0,0,0,0,0,0
"PS_chr07_G030861",3,0,2,2,0,0,0,2
"PS_chr07_G030862",123.717,121,350,208.523,293.902,131,262.918,261
"PS_chr07_G030863",256.805,343.091,493.445,407.866,457.34,204.276,185.978,480.766
"PS_chr07_G030864",149.092,141,410.327,186.478,574.702,103.13,327.172,413.75
"PS_chr07_G030865",1330.997,1049.065,1246.712,1207.344,1616.282,1051.57,986,1314.625
"PS_chr07_G030866",2,0,3,0,1,0,2,10
"PS_chr07_G030868",0,2.587,13.422,58.632,10.141,52.698,1,2.011
"PS_chr07_G030869",19.939,7.728,21.586,119.272,2.49,0,0,0
"PS_chr07_G030870",0,0,0,0,0,0,0,0
"PS_chr07_G030871",0,0,0,0,0,0,0,0
"PS_chr07_G030872",0,1.721,0,14.833,0,21.52,0,0
"PS_chr07_G030873",5,6.958,0,0,3.502,20,7.731,16.934
"PS_chr07_G030874",5,0,0,7,0,4,0,0
"PS_chr07_G030875",7.148,14.911,19.437,3.252,2.009,35.606,0,23.864
"PS_chr07_G030876",395.972,74,43,57.66,62,250.926,6.997,32
"PS_chr07_G030877",10.028,8,3,11,0,18,0,0
"PS_chr07_G030878",7,0,0,0,0,1.002,0,0
"PS_chr07_G030879",550.554,194.197,331.463,5.635,700.656,733.302,3.44,238.94
"PS_chr07_G030880",0,0,0,1,0,0,0,0
"PS_chr07_G030881",16,15,37,47,1,32,4,4
"PS_chr07_G030882",0,0,0,0,0,0,0,0
"PS_chr07_G030883",2.389,1.998,3,0,0,0,2,0
"PS_chr07_G030884",0,0,0,0,0,0,0,0
"PS_chr07_G030885",0,3.008,6.458,0,0,0,1.998,8
"PS_chr07_G030886",0,0,0,0,0,0,0,0
"PS_chr07_G030888",1599.341,1580.464,1434.402,1513.148,2413.964,1274.905,1229.238,2085.017
"PS_chr07_G030891",286,208.796,205.942,288.639,233.708,148,128.274,293.058
"PS_chr07_G030893",445.053,503.499,363.726,223.579,896.789,163.441,441.516,572.639
"PS_chr07_G030894",2.172,3,13.007,16.773,12.578,32.562,5,15.023
"PS_chr07_G030895",2,0,0,1,0,3,0,3
"PS_chr07_G030896",8.828,0,12.993,1.227,9.422,25.438,0,5.977
"PS_chr07_G030897",0,0,2,0,1,0,2,0
"PS_chr07_G030898",93.011,39,42.207,10.143,70,31,26,62.134
"PS_chr07_G030899",15,13,4,0,10.004,1,7,15
"PS_chr07_G030900",27.607,6.872,46.357,52.483,11.415,34.554,3,20.814
"PS_chr07_G030901",16.28,9.328,28.096,0,17.939,31.973,5,6.334
"PS_chr07_G030902",15.817,2.21,10.458,11.518,4.367,12.602,0,4.881
"PS_chr07_G030903",25.683,15.07,12.328,3.049,1.018,34.919,0,0
"PS_chr07_G030904",55.325,14.99,27.599,13.693,2.025,28.19,10,2.034
"PS_chr07_G030905",39.588,21.226,94.501,115.552,25.692,48.513,0,18.75
"PS_chr07_G030906",8.688,16.165,15.373,3.908,13.932,9.405,0,13.187
"PS_chr07_G030907",51,9.139,35.747,49,23.613,84.896,1,11
"PS_chr07_G030908",12,10,55,15,57,13,24,53
"PS_chr07_G030909",101.008,123,377,288.054,487.185,153.015,147,389
"PS_chr07_G030910",951,827.068,864.154,924.665,1546.145,865.072,746.316,1291.63
"PS_chr07_G030911",43,34,66,15,21,46,22,31
"PS_chr07_G030912",19,7,14,10,33,6,8,6
"PS_chr07_G030913",22,23,64.854,43.893,53.973,29,17.504,6
"PS_chr07_G030914",89,72,104.099,80,133.021,57,84,128.063
"PS_chr07_G030916",1238.019,1052,1170,1256,1070.29,860.215,482.001,1167.012
"PS_chr07_G030917",0,0,0,0,0,0,0,0
"PS_chr07_G030918",860.294,711.203,1661.254,794.181,2786.166,685.218,1325.96,2033.38
"PS_chr07_G030919",0,4,0,0,0,0,0,4
"PS_chr07_G030920",364,286.15,244,379.249,238,237,141,235.118
"PS_chr07_G030921",0,0,0,0,0,0,0,0
"PS_chr07_G030923",0,0,0,0,0,0,0,1
"PS_chr07_G030924",4.001,5.003,0,0,0,3.215,0,5.666
"PS_chr07_G030925",10,7,4,117.989,14,0,0,9
"PS_chr07_G030926",14,22,14,54,35,20,10,28
"PS_chr07_G030927",0,0,0,0,0,0,0,0
"PS_chr07_G030928",1167.52,792.017,1068.072,1017.318,2296.883,983,972.322,1957.681
"PS_chr07_G030930",1522.084,1718.975,2409.395,1665.508,4268.216,1162.606,2077.318,4092.435
"PS_chr07_G030931",5.454,262.226,68.206,53.41,1.315,430.23,51.075,28.952
"PS_chr07_G030932",0,0,0,1,2,0,2,0
"PS_chr07_G030933",0,0,0,0,0,0,0,0
"PS_chr07_G030934",0,0,0,0,0,0,0,0
"PS_chr07_G030935",4,0,0,0,0,3.945,0,14.27
"PS_chr07_G030936",59,39.114,0,0,0,29.543,0,12.415
"PS_chr07_G030937",968.016,1127.079,0,0,0,1103.161,1.745,19.99
"PS_chr07_G030938",426.239,497.785,0,0,2,584.014,90.149,30.377
"PS_chr07_G030939",7,11.034,4,3,1.001,2,0,0
"PS_chr07_G030941",8.27,0,0,0,0,27.478,14.79,0
"PS_chr07_G030942",38.14,10.601,0,0,0,103.411,4.633,22.89
"PS_chr07_G030943",9,12,0,1,0,8,1.014,13.003
"PS_chr07_G030944",7.319,3.074,0,9.737,2.992,0,0,0
"PS_chr07_G030945",0,10,0,27,3,0,3.98,0
"PS_chr07_G030946",6,10.035,19,51.001,2,23.852,8,33.78
"PS_chr07_G030947",0,0,0,0,0,2.002,0,0
"PS_chr07_G030948",0,0,0,0,1.999,7.316,0,0
"PS_chr07_G030949",4.026,2,4,37.114,10.978,31.182,0,0
"PS_chr07_G030950",34.212,0,0,4.292,2.023,37.998,0,1
"PS_chr07_G030951",6.819,7.086,0,0,0,9.502,0,0
"PS_chr07_G030952",2.943,3.914,0,37.593,0,0,1,0
"PS_chr07_G030953",16014.436,16152.55,13818.756,16168.552,16346.902,10680.31,7161.183,15764.085
"PS_chr07_G030954",0,0,0,0,0,0,0,0
"PS_chr07_G030955",140,77.025,158.013,115.103,280.965,96,149.001,245.878
"PS_chr07_G030956",0,0,0,0,2,0,0,0
"PS_chr07_G030957",184,5,119,0,219,149,0,86
"PS_chr07_G030958",35,4,18,0,20,101,0,3
"PS_chr07_G030959",18.826,6,41.172,10.969,56.237,28.001,3,55.969
"PS_chr07_G030960",7.931,0,0,0,0,32,0,0
"PS_chr07_G030961",8.069,1,0,0,1,0,6,0
"PS_chr07_G030962",0,0,0,0,0,0,0,0
"PS_chr07_G030963",27.174,21,236.828,39.031,216.763,65.001,10,202.347
"PS_chr07_G030964",0,0,0,0,0,0,0,0
"PS_chr07_G030965",0,4,1,1,2,2,0,12
"PS_chr07_G030966",7,31,21,4,43,4,55.037,33
"PS_chr07_G030967",2033.002,1278.01,1896.601,1845.881,2478.402,1512.437,1163.262,2025.63
"PS_chr07_G030968",67,41,85,111,160,59,51.065,124
"PS_chr07_G030970",171.017,180,162,126.049,190.154,163.009,108,181.003
"PS_chr07_G030971",347,311,405.104,522.878,379.685,238,201.102,311.072
"PS_chr07_G030972",0,0,0,0,0,0,0,0
"PS_chr07_G030973",3171.875,2780.488,3617.015,2844.116,5788.407,2560.549,3088.309,5078.097
"PS_chr07_G030974",0,0,2,0,0,0,1,0
"PS_chr07_G030975",1,0,0,0,0,0,0,0
"PS_chr07_G030976",111,35,161,41.008,297.775,69,184.218,458.098
"PS_chr07_G030978",7422.072,5491.288,7609.399,7270.389,13481.389,5349.522,4987.222,10170.754
"PS_chr07_G030981",0,0,0,0,0,0,0,0
"PS_chr07_G030982",452.822,100.898,188.928,610.515,566.897,347.102,238.636,474.113
"PS_chr07_G030983",5,0,4,4,13,1,6,8
"PS_chr07_G030984",623.245,519.99,1057.349,843.142,1538.359,494.64,786.058,1423.473
"PS_chr07_G030986",9034.915,5785.639,7788.559,5999.271,27415.106,4753.154,7775.187,23690.445
"PS_chr07_G030987",471.97,461,687.625,460.11,1133.71,349.012,444.151,825.357
"PS_chr07_G030991",186,181,198,246.008,278.002,162.173,177.067,287.79
"PS_chr07_G030992",56.751,2.859,16.801,0,5.277,32.594,31.956,0
"PS_chr07_G030993",27.821,42.877,107.531,3.195,37.23,190.97,156.102,40.563
"PS_chr07_G030994",2913.51,2341.37,2408.915,3457.267,4584.422,2039.233,1936.489,4023.986
"PS_chr07_G030995",224.001,120,162,235,208,121.234,95,156.01
"PS_chr07_G030998",683,777.962,787.445,610.5,1182.148,457.999,529.693,765.044
"PS_chr07_G031000",0,0,0,0,1,0,0,1
"PS_chr07_G031002",0,0,1.041,414.624,0,164,3,996.276
"PS_chr07_G031003",1796.715,1264.528,1749.88,1989.87,2862.924,1147.24,1116.65,1991.308
"PS_chr07_G031006",1410.797,1117.879,1503.469,1382.234,2640.447,1156.59,1044.364,2071.792
"PS_chr07_G031007",406,346,424.21,465.437,617.73,328,325.734,484.177
"PS_chr07_G031008",0,0,0,0,0,0,0,0
"PS_chr07_G031009",24,15,10,8,15,9,18,11
"PS_chr07_G031010",13753.251,12853.602,8542.383,14153.511,10370.961,9513.915,4753.372,8321.86
"PS_chr07_G031011",35.293,28.28,24.409,54.862,32.96,38.011,30.869,69.264
"PS_chr07_G031012",0,0,0,36.978,14.417,0,0,28.591
"PS_chr07_G031013",2321.43,2025.051,2593.381,2263.313,4719.549,1712.117,2345.353,4196.115
"PS_chr07_G031014",2,5,1,0,0,9,3,2
"PS_chr07_G031015",0,0,0,0,0,0,0,0
"PS_chr07_G031016",9.051,5.891,8.851,14.091,11.39,9.531,2.391,30.197
"PS_chr07_G031017",0,0,0,4,2,0,0,0
"PS_chr07_G031018",3,0,3,16.647,1,0,0,0
"PS_chr07_G031019",9,9,78,13.353,13,10,1,15
"PS_chr07_G031020",0,0,0,0,0,0,0,0
"PS_chr07_G031021",0,0,0,0,0,0,0,0
"PS_chr07_G031022",0,50.063,0,0,0,7.906,0,12.156
"PS_chr07_G031023",0,2,53,67.994,140.532,0,4,22
"PS_chr07_G031024",1,0,43,45.881,106.906,1,6.054,16.657
"PS_chr07_G031025",3,0,2,2.126,14.563,1,4.946,11.343
"PS_chr07_G031026",0,2.106,0,7.964,0,0,16.477,17.96
"PS_chr07_G031027",0,0,2.804,0,0,20.718,5.52,0
"PS_chr07_G031028",13.955,6.089,54.393,28.337,20.745,7.138,42.857,68.344
"PS_chr07_G031029",0,0,0,11.654,0,0,2,0
"PS_chr07_G031030",0,0,0,0,0,0,0,0
"PS_chr07_G031031",10,5,6,8,14.396,4,2,8
"PS_chr07_G031032",3,0,0,0,0,0,4,3
"PS_chr07_G031033",16,0,14,0,4,0,5,0
"PS_chr07_G031034",0,0,0,0,5.403,0,0,0
"PS_chr07_G031035",0,5.386,0,0,0,0,0,0
"PS_chr07_G031036",0,0,0,0,1.201,0,0,4.449
"PS_chr07_G031037",0,0,0,2,0,0,0,1.551
"PS_chr07_G031038",0,0,0,0,0,0,0,0
"PS_chr07_G031039",577.957,749.128,2245.932,1012.979,1992.766,753.439,930.429,1610.802
"PS_chr07_G031040",35,27,129.817,93.218,49.952,31,8,42.648
"PS_chr07_G031041",4,5,45,36,3,12,28,7
"PS_chr07_G031042",127,122,716,151,326.742,66,106.512,469.02
"PS_chr07_G031043",419.973,424,699.068,632.11,478,399.007,163,771.796
"PS_chr07_G031044",0,0,0,0,0,0,0,0
"PS_chr07_G031045",11,21,30,44,13,8,12,16
"PS_chr07_G031046",48,11,1.01,35.002,8,73.002,1,11
"PS_chr07_G031047",34.798,0,43.652,59.905,37.126,70.065,3.443,38.357
"PS_chr07_G031048",112.202,29,45.432,76.095,23.874,83.263,8.557,24.654
"PS_chr07_G031049",46,67.266,153.659,48.775,89.735,79,67.093,110.881
"PS_chr07_G031050",11,21.734,31.341,14.225,32.265,32,9.873,15.119
"PS_chr07_G031051",4,25,178.01,5,27,35,25,137
"PS_chr07_G031052",0,0,0,0,0,0,0,0
"PS_chr07_G031053",5,3,8,6,12,2,0,6
"PS_chr07_G031054",1178.143,1254.415,2203.279,1415.443,1657.505,1083.093,996.096,1693.063
"PS_chr07_G031055",0,0,0,0,0,0,0,0
"PS_chr07_G031057",0,0,1,0,0,0,0,1
"PS_chr07_G031058",0,0,0,0,0,0,0,3
"PS_chr07_G031059",4,4,5.128,0,9,0,0,0
"PS_chr07_G031060",0,0,4.872,0,0,0,0,0
"PS_chr07_G031061",0,0,0,0,0,0,0,0
"PS_chr07_G031062",0,0,0,0,0,0,0,0
"PS_chr07_G031063",11.005,5,2,0,4,4,4,0
"PS_chr07_G031064",43.758,41.202,55.959,157.735,66.328,9.57,56.602,84.566
"PS_chr07_G031065",43.049,0,90.544,45.392,58.65,5.07,3.956,4.267
"PS_chr07_G031066",1,0,0,0,15.263,0,13.883,29.007
"PS_chr07_G031067",3,0,13,12,30,0,37.413,39.606
"PS_chr07_G031068",66.314,22.944,46.798,67.425,60.51,0,16.39,55.439
"PS_chr07_G031069",34.662,32.574,212.864,48.772,131.41,0,16.328,101.063
"PS_chr07_G031070",11.999,15,84,24,80.187,2,5,0
"PS_chr07_G031071",18.458,6,0,4,20.016,0,0,13
"PS_chr07_G031072",30,4,5,10,50,4,12,0
"PS_chr07_G031073",0,0,0,0,0,0,0,0
"PS_chr07_G031075",207.409,187.562,519.654,727.666,1094.053,192.926,246.112,921.471
"PS_chr07_G031076",8.273,26.98,15.071,30.657,46.754,11,52.628,24.977
"PS_chr07_G031077",13.505,13.841,27.361,66.986,27.735,0,0,34.378
"PS_chr07_G031078",6.036,10,0,4,0,6,10,0
"PS_chr07_G031079",0,0,0,0,0,0,0,0
"PS_chr07_G031082",156.542,85,97.03,91.106,21.984,142,84,12
"PS_chr07_G031083",2,0,5,1,16.737,0,29.704,32.388
"PS_chr07_G031084",89.382,134.393,133.644,206.529,146.073,6.436,68.099,195.602
"PS_chr07_G031085",41.696,44.936,48.593,168.164,108.379,14.068,27.841,138.914
"PS_chr07_G031086",0,0,0,0,0,0,0,0
"PS_chr07_G031087",5,1,10,9,8,1,4,6
"PS_chr07_G031088",0,1,5.536,0,0,0,0,0
"PS_chr07_G031089",550,352,447.22,453.25,693.2,443.201,248.324,585.241
"PS_chr07_G031091",0,0,0,0,0,0,0,0
"PS_chr07_G031092",0,0,3.089,8.997,23.362,0,0,0
"PS_chr07_G031093",0,0,0,0,0,0,0,0
"PS_chr07_G031094",0,0,2.911,11.003,17.688,0,0,4
"PS_chr07_G031095",1,0,0,0,9.95,0,0,0
"PS_chr07_G031096",0,0,0,0,0,0,0,0
"PS_chr07_G031097",9,1,17.382,6,31,10.836,6,7
"PS_chr07_G031098",11.862,24.253,4.704,17.114,7.879,7.938,10.066,17.403
"PS_chr07_G031099",7.644,0,0,71.761,15.224,8.993,0,248.684
"PS_chr07_G031100",7.347,0,0,23.205,0,24.542,0,30.138
"PS_chr07_G031101",379.222,0,0,2742.859,566.613,349.087,0,1458.442
"PS_chr07_G031102",1520.157,0,0,2470.934,1508.059,1195.477,0,2391.382
"PS_chr07_G031103",0,4.642,0,438.98,0,0,0.855,226.718
"PS_chr07_G031104",489.168,0,0,2014.301,715.899,391.975,0,1633.924
"PS_chr07_G031105",21.817,0,0,203.319,207.11,33.741,0,417.207
"PS_chr07_G031106",2,0,53.618,12,23,4.164,11,18
"PS_chr07_G031107",697.472,268.993,592.575,225.668,651.206,635.507,224.439,709.392
"PS_chr07_G031109",31.544,0,52.36,0,0,35.993,6.31,39.021
"PS_chr07_G031111",0,0,0,0,0,0,0,0
"PS_chr07_G031112",1250.496,1523.197,24.152,115.416,1254.548,91.949,34.889,19.216
"PS_chr07_G031113",35.689,23,0,10.22,18.832,4,4,2.003
"PS_chr07_G031114",0,16.902,24.007,0,0,0,0,0
"PS_chr07_G031115",0,1.004,3.056,0,0,1,2.009,5.017
"PS_chr07_G031116",234.081,117,0,0,195.086,0,0,0
"PS_chr07_G031117",389.673,384.529,897.505,591.972,29.309,429.804,1434.835,959.208
"PS_chr07_G031118",133.724,74.473,138.432,46.028,7.705,70.988,467.074,279.955
"PS_chr07_G031119",284.12,146.034,177,170.78,258.448,106,159.012,371.492
"PS_chr07_G031120",49,80,25,6,0,4,0,40
"PS_chr07_G031121",20,11,43.004,38.002,75.574,28.972,38,66.579
"PS_chr07_G031122",0,0,0,0,0,0,0,0
"PS_chr07_G031123",2.054,0,4.998,0,0,0,0,0
"PS_chr07_G031124",76.766,83.902,136.002,89.877,219.487,32.921,98.003,171.239
"PS_chr07_G031125",18.234,24.098,64,20.173,118.562,31.079,32.115,71.698
"PS_chr07_G031126",3049.21,2403.878,2951.134,3364.708,5588.931,2768.146,2428.001,4406.845
"PS_chr07_G031127",4357.541,3825.963,3793.334,4190.926,6670.439,3621.408,3294.772,5655.966
"PS_chr07_G031128",0,0,0,0,0,0,0,0
"PS_chr07_G031129",2,0,87.058,16,125.896,22,28,85.039
"PS_chr07_G031130",0,0,0,0,0,0,0,0
"PS_chr07_G031132",6,3,1,4,4,3,3,4
"PS_chr07_G031133",0,0,0,1,0,0,3.999,0
"PS_chr07_G031134",5,6,0,0,0,4,1.001,0
"PS_chr07_G031135",0,0,0,0,0,0,0,0
"PS_chr07_G031136",19,17,18.877,29,31,3,16,8
"PS_chr07_G031137",92,44,11,44,10,30,2,5
"PS_chr07_G031138",0,0,0,0,0,0,0,0
"PS_chr07_G031139",72,69,65,70,53.196,48,23,57.887
"PS_chr07_G031140",10,1,0,18,10,7,0,3
"PS_chr07_G031141",892.409,827.609,729.014,876.599,731.454,650.731,253.42,437.429
"PS_chr07_G031142",1203.122,1196.016,1272.771,1443.076,2038.619,823.078,837.727,1738.719
"PS_chr07_G031143",351.141,221.763,359.275,368.029,874.548,292.908,347.643,624.451
"PS_chr07_G031144",3,0,0,0,0,0,0,2
"PS_chr07_G031145",0,0,0,0,0,0,0,0
"PS_chr07_G031146",0,0,0,1,0,0,0,0
"PS_chr07_G031147",0,0,0,0,0,0,0,0
"PS_chr07_G031148",0,0,0,0,0,0,0,0
"PS_chr07_G031149",0,0,0,7,36,1,28,30
"PS_chr07_G031150",0,0,0,0,0,0,0,0
"PS_chr07_G031151",52.198,22.61,32.72,57.584,31.33,61.949,65.922,79.864
"PS_chr07_G031152",9.585,0,13.69,27.076,49.286,8.187,106.357,11.311
"PS_chr07_G031153",287.316,139.04,150.687,415.596,449.262,189.909,316.915,430.019
"PS_chr07_G031154",27.619,11.213,30.939,103.796,112.634,67.135,85.952,134.016
"PS_chr07_G031155",0,0,0,0,0,0,0,0
"PS_chr07_G031156",10,2,15,0,26.426,1.997,10.963,23.541
"PS_chr07_G031157",317.042,305.308,545,314,638.176,352,360.614,524.052
"PS_chr07_G031158",0,0,0,0,52.588,0,0,0
"PS_chr07_G031159",0,0,0,1.865,4.346,5.287,4.46,0
"PS_chr07_G031160",970,922.194,926.471,1004.07,1267.217,648.507,567.989,1089.144
"PS_chr07_G031161",0,0,0,0,0,0,0,0
"PS_chr07_G031163",0,0,0,0,0,0,0,0
"PS_chr07_G031164",68.703,71.234,132.527,62.91,124.689,56.983,90.712,116.966
"PS_chr07_G031165",0,0,0,0,0,0,0,3
"PS_chr07_G031166",0,0,0,0,0,0,0,0
"PS_chr07_G031167",28,0,1,15,36,26,10,58
"PS_chr07_G031168",193.154,0,0,714.613,270.82,174.14,0,668.053
"PS_chr07_G031169",67.675,17.627,0,5.613,28.858,30.126,17.884,25.325
"PS_chr07_G031170",7,0,18,0,1,0,11,11
"PS_chr07_G031171",1045.921,427.956,0,35.021,747.366,572.253,197.667,634.257
"PS_chr07_G031172",0,0,3,0,0,0,0,0
"PS_chr07_G031173",308.889,120.437,0,11.366,178.694,154.663,46.479,132.555
"PS_chr07_G031174",754.797,237,410.916,941.27,276.488,174,103,215.997
"PS_chr07_G031175",647.861,618.348,544.546,627.654,728.692,502.443,320.061,670.982
"PS_chr07_G031177",0,0,0,0,0,0,0,0
"PS_chr07_G031179",1510.106,1411.314,1651.542,2216.109,2678.055,1129.889,1313.234,2029.257
"PS_chr07_G031181",8836.316,9573.307,5884.883,10405.969,6786.166,7369.467,5008.412,8420.281
"PS_chr07_G031182",0,0,0,0,0,0,0,0
"PS_chr07_G031183",230.031,205.717,197.927,330.252,299.87,176.733,105.764,198.501
"PS_chr07_G031184",0,0,0,0,0,0,0,0
"PS_chr07_G031185",70.958,46,109.999,60,56.066,65,56,72.139
"PS_chr07_G031186",3,8,10,3,3,0,3.044,2
"PS_chr07_G031187",0,4,0,3,0,0,0,2
"PS_chr07_G031188",2,0,0,0,42,0,0,26
"PS_chr07_G031189",0,0,0,0,0,0,0,0
"PS_chr07_G031190",4.201,4.844,5.913,0,18.112,11.423,1.375,23.023
"PS_chr07_G031191",932.982,574.03,1348.587,1548.807,1449.185,413,360.985,1177.397
"PS_chr07_G031192",0,0,0,0,0,1,5,0
"PS_chr07_G031193",872.001,804.235,1075.349,823.269,1982.158,681.126,1079.031,1853.774
"PS_chr07_G031194",714.004,703.855,113.213,1184.361,84.492,621.855,20.087,103.907
"PS_chr07_G031195",833.688,893.403,175.489,1315.901,318.793,530.898,35.744,120.883
"PS_chr07_G031196",0,11,9,10,0,0,0,7
"PS_chr07_G031197",5,0,3,1,0,2,0,1
"PS_chr07_G031198",346.637,307.377,21.235,646.59,208.765,309.956,6.266,48.034
