PS_chr01_G000001.mRNA.3	PS_chr01_G000001
PS_chr05_G022277.mRNA.1	PS_chr05_G022277
PS_chr05_G022278.mRNA.1	PS_chr05_G022278
PS_chr05_G022279.mRNA.1	PS_chr05_G022279
PS_chr05_G022280.mRNA.1	PS_chr05_G022280
PS_chr05_G022281.mRNA.1	PS_chr05_G022281
PS_chr05_G022282.mRNA.1	PS_chr05_G022282
PS_chr05_G022283.mRNA.1	PS_chr05_G022283
PS_chr05_G022284.mRNA.1	PS_chr05_G022284
PS_chr05_G022285.mRNA.1	PS_chr05_G022285
PS_chr05_G022286.mRNA.1	PS_chr05_G022286
PS_chr05_G022287.mRNA.1	PS_chr05_G022287
PS_chr05_G022288.mRNA.1	PS_chr05_G022288
PS_chr05_G022289.mRNA.1	PS_chr05_G022289
PS_chr05_G022290.mRNA.1	PS_chr05_G022290
PS_chr05_G022291.mRNA.1	PS_chr05_G022291
PS_chr05_G022292.mRNA.1	PS_chr05_G022292
PS_chr05_G022293.mRNA.1	PS_chr05_G022293
PS_chr05_G022294.mRNA.1	PS_chr05_G022294
PS_chr05_G022295.mRNA.1	PS_chr05_G022295
PS_chr05_G022296.mRNA.1	PS_chr05_G022296
PS_chr05_G022297.mRNA.1	PS_chr05_G022297
PS_chr05_G022298.mRNA.2	PS_chr05_G022298
PS_chr05_G022299.mRNA.1	PS_chr05_G022299
PS_chr05_G022300.mRNA.1	PS_chr05_G022300
PS_chr05_G022301.mRNA.1	PS_chr05_G022301
PS_chr05_G022302.mRNA.1	PS_chr05_G022302
PS_chr05_G022303.mRNA.1	PS_chr05_G022303
PS_chr05_G022304.mRNA.20	PS_chr05_G022304
PS_chr05_G022305.mRNA.1	PS_chr05_G022305
PS_chr05_G022306.mRNA.1	PS_chr05_G022306
PS_chr05_G022307.mRNA.1	PS_chr05_G022307
PS_chr05_G022308.mRNA.1	PS_chr05_G022308
PS_chr05_G022309.mRNA.2	PS_chr05_G022309
PS_chr05_G022310.mRNA.1	PS_chr05_G022310
PS_chr05_G022312.mRNA.2	PS_chr05_G022312
PS_chr05_G022313.mRNA.1	PS_chr05_G022313
PS_chr05_G022314.mRNA.1	PS_chr05_G022314
PS_chr05_G022315.mRNA.3	PS_chr05_G022315
PS_chr05_G022316.mRNA.1	PS_chr05_G022316
PS_chr05_G022317.mRNA.1	PS_chr05_G022317
PS_chr05_G022318.mRNA.1	PS_chr05_G022318
PS_chr05_G022319.mRNA.1	PS_chr05_G022319
PS_chr05_G022320.mRNA.1	PS_chr05_G022320
PS_chr05_G022321.mRNA.1	PS_chr05_G022321
PS_chr05_G022322.mRNA.1	PS_chr05_G022322
PS_chr05_G022323.mRNA.2	PS_chr05_G022323
PS_chr05_G022324.mRNA.1	PS_chr05_G022324
PS_chr05_G022325.mRNA.1	PS_chr05_G022325
PS_chr05_G022326.mRNA.1	PS_chr05_G022326
PS_chr05_G022327.mRNA.10	PS_chr05_G022327
PS_chr05_G022333.mRNA.1	PS_chr05_G022333
PS_chr05_G022334.mRNA.1	PS_chr05_G022334
PS_chr05_G022335.mRNA.1	PS_chr05_G022335
PS_chr05_G022337.mRNA.1	PS_chr05_G022337
PS_chr05_G022338.mRNA.1	PS_chr05_G022338
PS_chr05_G022339.mRNA.1	PS_chr05_G022339
PS_chr05_G022340.mRNA.1	PS_chr05_G022340
PS_chr05_G022341.mRNA.1	PS_chr05_G022341
PS_chr05_G022342.mRNA.3	PS_chr05_G022342
PS_chr05_G022346.mRNA.1	PS_chr05_G022346
PS_chr05_G022347.mRNA.7	PS_chr05_G022347
PS_chr05_G022348.mRNA.1	PS_chr05_G022348
PS_chr05_G022349.mRNA.2	PS_chr05_G022349
PS_chr05_G022350.mRNA.1	PS_chr05_G022350
PS_chr05_G022351.mRNA.5	PS_chr05_G022351
PS_chr05_G022352.mRNA.3	PS_chr05_G022352
PS_chr05_G022353.mRNA.1	PS_chr05_G022353
PS_chr05_G022354.mRNA.3	PS_chr05_G022354
PS_chr05_G022355.mRNA.3	PS_chr05_G022355
PS_chr05_G022356.mRNA.5	PS_chr05_G022356
PS_chr05_G022357.mRNA.1	PS_chr05_G022357
PS_chr05_G022358.mRNA.1	PS_chr05_G022358
PS_chr05_G022359.mRNA.1	PS_chr05_G022359
PS_chr05_G022360.mRNA.1	PS_chr05_G022360
PS_chr05_G022361.mRNA.1	PS_chr05_G022361
PS_chr05_G022362.mRNA.2	PS_chr05_G022362
PS_chr05_G022363.mRNA.2	PS_chr05_G022363
PS_chr05_G022364.mRNA.1	PS_chr05_G022364
PS_chr05_G022365.mRNA.2	PS_chr05_G022365
PS_chr05_G022366.mRNA.1	PS_chr05_G022366
PS_chr05_G022367.mRNA.3	PS_chr05_G022367
PS_chr05_G022368.mRNA.1	PS_chr05_G022368
PS_chr05_G022369.mRNA.1	PS_chr05_G022369
PS_chr05_G022370.mRNA.3	PS_chr05_G022370
PS_chr05_G022371.mRNA.1	PS_chr05_G022371
PS_chr05_G022372.mRNA.1	PS_chr05_G022372
PS_chr05_G022373.mRNA.2	PS_chr05_G022373
PS_chr05_G022374.mRNA.1	PS_chr05_G022374
PS_chr05_G022375.mRNA.1	PS_chr05_G022375
PS_chr05_G022376.mRNA.1	PS_chr05_G022376
PS_chr05_G022377.mRNA.1	PS_chr05_G022377
PS_chr05_G022378.mRNA.1	PS_chr05_G022378
PS_chr05_G022379.mRNA.1	PS_chr05_G022379
PS_chr05_G022382.mRNA.1	PS_chr05_G022382
PS_chr05_G022380.mRNA.5	PS_chr05_G022380
PS_chr05_G022384.mRNA.2	PS_chr05_G022384
PS_chr05_G022385.mRNA.4	PS_chr05_G022385
PS_chr05_G022386.mRNA.1	PS_chr05_G022386
PS_chr05_G022387.mRNA.2	PS_chr05_G022387
PS_chr05_G022388.mRNA.6	PS_chr05_G022388
PS_chr05_G022389.mRNA.1	PS_chr05_G022389
PS_chr05_G022391.mRNA.1	PS_chr05_G022391
PS_chr05_G022392.mRNA.2	PS_chr05_G022392
PS_chr05_G022393.mRNA.1	PS_chr05_G022393
PS_chr05_G022394.mRNA.1	PS_chr05_G022394
PS_chr05_G022395.mRNA.2	PS_chr05_G022395
PS_chr05_G022397.mRNA.1	PS_chr05_G022397
PS_chr05_G022398.mRNA.1	PS_chr05_G022398
PS_chr05_G022400.mRNA.1	PS_chr05_G022400
PS_chr05_G022401.mRNA.1	PS_chr05_G022401
PS_chr05_G022402.mRNA.1	PS_chr05_G022402
PS_chr05_G022403.mRNA.3	PS_chr05_G022403
PS_chr05_G022404.mRNA.8	PS_chr05_G022404
PS_chr05_G022405.mRNA.1	PS_chr05_G022405
PS_chr05_G022406.mRNA.1	PS_chr05_G022406
PS_chr05_G022408.mRNA.1	PS_chr05_G022408
PS_chr05_G022409.mRNA.8	PS_chr05_G022409
PS_chr05_G022410.mRNA.1	PS_chr05_G022410
PS_chr05_G022411.mRNA.1	PS_chr05_G022411
PS_chr05_G022412.mRNA.1	PS_chr05_G022412
PS_chr05_G022413.mRNA.1	PS_chr05_G022413
PS_chr05_G022414.mRNA.3	PS_chr05_G022414
PS_chr05_G022415.mRNA.1	PS_chr05_G022415
PS_chr05_G022416.mRNA.2	PS_chr05_G022416
PS_chr05_G022417.mRNA.1	PS_chr05_G022417
PS_chr05_G022418.mRNA.1	PS_chr05_G022418
PS_chr05_G022419.mRNA.2	PS_chr05_G022419
PS_chr05_G022420.mRNA.1	PS_chr05_G022420
PS_chr05_G022421.mRNA.5	PS_chr05_G022421
PS_chr05_G022422.mRNA.1	PS_chr05_G022422
PS_chr05_G022423.mRNA.1	PS_chr05_G022423
PS_chr05_G022424.mRNA.3	PS_chr05_G022424
PS_chr05_G022425.mRNA.3	PS_chr05_G022425
PS_chr05_G022426.mRNA.1	PS_chr05_G022426
PS_chr05_G022427.mRNA.2	PS_chr05_G022427
PS_chr05_G022428.mRNA.4	PS_chr05_G022428
PS_chr05_G022429.mRNA.1	PS_chr05_G022429
PS_chr05_G022430.mRNA.1	PS_chr05_G022430
PS_chr05_G022431.mRNA.1	PS_chr05_G022431
PS_chr05_G022432.mRNA.2	PS_chr05_G022432
PS_chr05_G022433.mRNA.1	PS_chr05_G022433
PS_chr05_G022434.mRNA.1	PS_chr05_G022434
PS_chr05_G022435.mRNA.2	PS_chr05_G022435
PS_chr05_G022437.mRNA.1	PS_chr05_G022437
PS_chr05_G022438.mRNA.2	PS_chr05_G022438
PS_chr05_G022439.mRNA.1	PS_chr05_G022439
PS_chr05_G022442.mRNA.1	PS_chr05_G022442
PS_chr05_G022443.mRNA.2	PS_chr05_G022443
PS_chr05_G022445.mRNA.2	PS_chr05_G022445
PS_chr05_G022449.mRNA.1	PS_chr05_G022449
PS_chr05_G022448.mRNA.11	PS_chr05_G022448
PS_chr05_G022451.mRNA.1	PS_chr05_G022451
PS_chr05_G022452.mRNA.1	PS_chr05_G022452
PS_chr05_G022453.mRNA.1	PS_chr05_G022453
PS_chr05_G022454.mRNA.1	PS_chr05_G022454
PS_chr05_G022458.mRNA.5	PS_chr05_G022458
PS_chr05_G022459.mRNA.1	PS_chr05_G022459
PS_chr05_G022460.mRNA.1	PS_chr05_G022460
PS_chr05_G022461.mRNA.7	PS_chr05_G022461
PS_chr05_G022462.mRNA.1	PS_chr05_G022462
PS_chr05_G022463.mRNA.2	PS_chr05_G022463
PS_chr05_G022464.mRNA.2	PS_chr05_G022464
PS_chr05_G022465.mRNA.1	PS_chr05_G022465
PS_chr05_G022466.mRNA.1	PS_chr05_G022466
PS_chr05_G022467.mRNA.1	PS_chr05_G022467
PS_chr05_G022468.mRNA.1	PS_chr05_G022468
PS_chr05_G022469.mRNA.1	PS_chr05_G022469
PS_chr05_G022470.mRNA.1	PS_chr05_G022470
PS_chr05_G022471.mRNA.1	PS_chr05_G022471
PS_chr05_G022472.mRNA.1	PS_chr05_G022472
PS_chr05_G022473.mRNA.1	PS_chr05_G022473
PS_chr05_G022474.mRNA.1	PS_chr05_G022474
PS_chr05_G022475.mRNA.1	PS_chr05_G022475
PS_chr05_G022476.mRNA.1	PS_chr05_G022476
PS_chr05_G022477.mRNA.1	PS_chr05_G022477
PS_chr05_G022478.mRNA.1	PS_chr05_G022478
PS_chr05_G022479.mRNA.1	PS_chr05_G022479
PS_chr05_G022480.mRNA.1	PS_chr05_G022480
PS_chr05_G022481.mRNA.2	PS_chr05_G022481
PS_chr05_G022482.mRNA.1	PS_chr05_G022482
PS_chr05_G022483.mRNA.1	PS_chr05_G022483
PS_chr05_G022484.mRNA.1	PS_chr05_G022484
PS_chr05_G022485.mRNA.1	PS_chr05_G022485
PS_chr05_G022486.mRNA.1	PS_chr05_G022486
PS_chr05_G022487.mRNA.1	PS_chr05_G022487
PS_chr05_G022488.mRNA.1	PS_chr05_G022488
PS_chr05_G022489.mRNA.1	PS_chr05_G022489
PS_chr05_G022490.mRNA.1	PS_chr05_G022490
PS_chr05_G022491.mRNA.1	PS_chr05_G022491
PS_chr05_G022492.mRNA.1	PS_chr05_G022492
PS_chr05_G022493.mRNA.1	PS_chr05_G022493
PS_chr05_G022494.mRNA.1	PS_chr05_G022494
PS_chr05_G022495.mRNA.1	PS_chr05_G022495
PS_chr05_G022496.mRNA.3	PS_chr05_G022496
PS_chr05_G022501.mRNA.1	PS_chr05_G022501
PS_chr05_G022502.mRNA.1	PS_chr05_G022502
PS_chr05_G022504.mRNA.1	PS_chr05_G022504
PS_chr05_G022505.mRNA.1	PS_chr05_G022505
PS_chr05_G022507.mRNA.1	PS_chr05_G022507
PS_chr05_G022511.mRNA.1	PS_chr05_G022511
PS_chr05_G022513.mRNA.1	PS_chr05_G022513
PS_chr05_G022514.mRNA.2	PS_chr05_G022514
PS_chr05_G022515.mRNA.2	PS_chr05_G022515
PS_chr05_G022516.mRNA.1	PS_chr05_G022516
PS_chr05_G022517.mRNA.1	PS_chr05_G022517
PS_chr05_G022518.mRNA.1	PS_chr05_G022518
PS_chr05_G022520.mRNA.1	PS_chr05_G022520
PS_chr05_G022521.mRNA.1	PS_chr05_G022521
PS_chr05_G022522.mRNA.1	PS_chr05_G022522
PS_chr05_G022523.mRNA.1	PS_chr05_G022523
PS_chr05_G022524.mRNA.1	PS_chr05_G022524
PS_chr05_G022527.mRNA.1	PS_chr05_G022527
PS_chr05_G022528.mRNA.1	PS_chr05_G022528
PS_chr05_G022529.mRNA.1	PS_chr05_G022529
PS_chr05_G022530.mRNA.2	PS_chr05_G022530
PS_chr05_G022531.mRNA.1	PS_chr05_G022531
PS_chr05_G022532.mRNA.1	PS_chr05_G022532
PS_chr05_G022533.mRNA.1	PS_chr05_G022533
PS_chr05_G022535.mRNA.1	PS_chr05_G022535
PS_chr05_G022536.mRNA.1	PS_chr05_G022536
PS_chr05_G022537.mRNA.1	PS_chr05_G022537
PS_chr05_G022538.mRNA.1	PS_chr05_G022538
PS_chr05_G022539.mRNA.1	PS_chr05_G022539
PS_chr05_G022544.mRNA.1	PS_chr05_G022544
PS_chr05_G022545.mRNA.1	PS_chr05_G022545
PS_chr05_G022551.mRNA.1	PS_chr05_G022551
PS_chr05_G022552.mRNA.1	PS_chr05_G022552
PS_chr05_G022553.mRNA.1	PS_chr05_G022553
PS_chr05_G022556.mRNA.1	PS_chr05_G022556
PS_chr05_G022560.mRNA.1	PS_chr05_G022560
PS_chr05_G022563.mRNA.1	PS_chr05_G022563
PS_chr05_G022564.mRNA.7	PS_chr05_G022564
PS_chr05_G022565.mRNA.7	PS_chr05_G022565
PS_chr05_G022566.mRNA.1	PS_chr05_G022566
PS_chr05_G022567.mRNA.2	PS_chr05_G022567
PS_chr05_G022568.mRNA.1	PS_chr05_G022568
PS_chr05_G022569.mRNA.1	PS_chr05_G022569
PS_chr05_G022570.mRNA.2	PS_chr05_G022570
PS_chr05_G022571.mRNA.1	PS_chr05_G022571
PS_chr05_G022573.mRNA.7	PS_chr05_G022573
PS_chr05_G022575.mRNA.1	PS_chr05_G022575
PS_chr05_G022578.mRNA.1	PS_chr05_G022578
PS_chr05_G022579.mRNA.1	PS_chr05_G022579
PS_chr05_G022580.mRNA.1	PS_chr05_G022580
PS_chr05_G022582.mRNA.1	PS_chr05_G022582
PS_chr05_G022583.mRNA.1	PS_chr05_G022583
PS_chr05_G022584.mRNA.1	PS_chr05_G022584
PS_chr05_G022585.mRNA.1	PS_chr05_G022585
PS_chr05_G022586.mRNA.1	PS_chr05_G022586
PS_chr05_G022587.mRNA.1	PS_chr05_G022587
PS_chr05_G022588.mRNA.1	PS_chr05_G022588
PS_chr05_G022589.mRNA.2	PS_chr05_G022589
PS_chr05_G022590.mRNA.1	PS_chr05_G022590
PS_chr05_G022591.mRNA.1	PS_chr05_G022591
PS_chr05_G022593.mRNA.1	PS_chr05_G022593
PS_chr05_G022594.mRNA.1	PS_chr05_G022594
PS_chr05_G022595.mRNA.1	PS_chr05_G022595
PS_chr05_G022596.mRNA.1	PS_chr05_G022596
PS_chr05_G022598.mRNA.2	PS_chr05_G022598
PS_chr05_G022600.mRNA.1	PS_chr05_G022600
PS_chr05_G022603.mRNA.1	PS_chr05_G022603
PS_chr05_G022604.mRNA.1	PS_chr05_G022604
PS_chr05_G022605.mRNA.1	PS_chr05_G022605
PS_chr05_G022606.mRNA.1	PS_chr05_G022606
PS_chr05_G022608.mRNA.1	PS_chr05_G022608
PS_chr05_G022609.mRNA.7	PS_chr05_G022609
PS_chr05_G022610.mRNA.1	PS_chr05_G022610
PS_chr05_G022614.mRNA.1	PS_chr05_G022614
PS_chr05_G022615.mRNA.1	PS_chr05_G022615
PS_chr05_G022616.mRNA.1	PS_chr05_G022616
PS_chr05_G022617.mRNA.1	PS_chr05_G022617
PS_chr05_G022619.mRNA.2	PS_chr05_G022619
PS_chr05_G022621.mRNA.1	PS_chr05_G022621
PS_chr05_G022620.mRNA.3	PS_chr05_G022620
PS_chr05_G022622.mRNA.1	PS_chr05_G022622
PS_chr05_G022623.mRNA.1	PS_chr05_G022623
PS_chr05_G022624.mRNA.1	PS_chr05_G022624
PS_chr05_G022625.mRNA.2	PS_chr05_G022625
PS_chr05_G022627.mRNA.1	PS_chr05_G022627
PS_chr05_G022628.mRNA.2	PS_chr05_G022628
PS_chr05_G022629.mRNA.1	PS_chr05_G022629
PS_chr05_G022630.mRNA.1	PS_chr05_G022630
PS_chr05_G022633.mRNA.1	PS_chr05_G022633
PS_chr05_G022634.mRNA.2	PS_chr05_G022634
PS_chr05_G022635.mRNA.1	PS_chr05_G022635
PS_chr05_G022636.mRNA.1	PS_chr05_G022636
PS_chr05_G022637.mRNA.1	PS_chr05_G022637
PS_chr05_G022638.mRNA.1	PS_chr05_G022638
PS_chr05_G022639.mRNA.2	PS_chr05_G022639
PS_chr05_G022640.mRNA.3	PS_chr05_G022640
PS_chr05_G022641.mRNA.1	PS_chr05_G022641
PS_chr05_G022642.mRNA.1	PS_chr05_G022642
PS_chr05_G022643.mRNA.1	PS_chr05_G022643
PS_chr05_G022644.mRNA.1	PS_chr05_G022644
PS_chr05_G022645.mRNA.1	PS_chr05_G022645
PS_chr05_G022646.mRNA.1	PS_chr05_G022646
PS_chr05_G022647.mRNA.1	PS_chr05_G022647
PS_chr05_G022648.mRNA.2	PS_chr05_G022648
PS_chr05_G022652.mRNA.1	PS_chr05_G022652
PS_chr05_G022653.mRNA.1	PS_chr05_G022653
PS_chr05_G022654.mRNA.1	PS_chr05_G022654
PS_chr05_G022655.mRNA.1	PS_chr05_G022655
PS_chr05_G022656.mRNA.1	PS_chr05_G022656
PS_chr05_G022657.mRNA.1	PS_chr05_G022657
PS_chr05_G022658.mRNA.2	PS_chr05_G022658
PS_chr05_G022659.mRNA.1	PS_chr05_G022659
PS_chr05_G022660.mRNA.1	PS_chr05_G022660
PS_chr05_G022661.mRNA.1	PS_chr05_G022661
PS_chr05_G022662.mRNA.1	PS_chr05_G022662
PS_chr05_G022663.mRNA.1	PS_chr05_G022663
PS_chr05_G022664.mRNA.1	PS_chr05_G022664
PS_chr05_G022665.mRNA.3	PS_chr05_G022665
PS_chr05_G022666.mRNA.1	PS_chr05_G022666
PS_chr05_G022667.mRNA.1	PS_chr05_G022667
PS_chr05_G022668.mRNA.1	PS_chr05_G022668
PS_chr05_G022669.mRNA.1	PS_chr05_G022669
PS_chr05_G022670.mRNA.1	PS_chr05_G022670
PS_chr05_G022671.mRNA.4	PS_chr05_G022671
PS_chr05_G022672.mRNA.1	PS_chr05_G022672
PS_chr05_G022673.mRNA.1	PS_chr05_G022673
PS_chr05_G022674.mRNA.2	PS_chr05_G022674
PS_chr05_G022675.mRNA.1	PS_chr05_G022675
PS_chr05_G022677.mRNA.1	PS_chr05_G022677
PS_chr05_G022678.mRNA.7	PS_chr05_G022678
PS_chr05_G022679.mRNA.8	PS_chr05_G022679
PS_chr05_G022681.mRNA.1	PS_chr05_G022681
PS_chr05_G022682.mRNA.1	PS_chr05_G022682
PS_chr05_G022685.mRNA.1	PS_chr05_G022685
PS_chr05_G022686.mRNA.1	PS_chr05_G022686
PS_chr05_G022687.mRNA.1	PS_chr05_G022687
PS_chr05_G022690.mRNA.1	PS_chr05_G022690
PS_chr05_G022691.mRNA.1	PS_chr05_G022691
PS_chr05_G022692.mRNA.1	PS_chr05_G022692
PS_chr05_G022693.mRNA.1	PS_chr05_G022693
PS_chr05_G022694.mRNA.1	PS_chr05_G022694
PS_chr05_G022695.mRNA.1	PS_chr05_G022695
PS_chr05_G022696.mRNA.1	PS_chr05_G022696
PS_chr05_G022697.mRNA.1	PS_chr05_G022697
PS_chr05_G022698.mRNA.5	PS_chr05_G022698
PS_chr05_G022699.mRNA.1	PS_chr05_G022699
PS_chr05_G022700.mRNA.1	PS_chr05_G022700
PS_chr05_G022704.mRNA.2	PS_chr05_G022704
PS_chr05_G022705.mRNA.1	PS_chr05_G022705
PS_chr05_G022706.mRNA.1	PS_chr05_G022706
PS_chr05_G022708.mRNA.1	PS_chr05_G022708
PS_chr05_G022710.mRNA.1	PS_chr05_G022710
PS_chr05_G022711.mRNA.1	PS_chr05_G022711
PS_chr05_G022712.mRNA.1	PS_chr05_G022712
PS_chr05_G022713.mRNA.3	PS_chr05_G022713
PS_chr05_G022715.mRNA.1	PS_chr05_G022715
PS_chr05_G022714.mRNA.2	PS_chr05_G022714
PS_chr05_G022716.mRNA.1	PS_chr05_G022716
PS_chr05_G022717.mRNA.1	PS_chr05_G022717
PS_chr05_G022718.mRNA.5	PS_chr05_G022718
PS_chr05_G022719.mRNA.1	PS_chr05_G022719
PS_chr05_G022720.mRNA.3	PS_chr05_G022720
PS_chr05_G022721.mRNA.1	PS_chr05_G022721
PS_chr05_G022722.mRNA.1	PS_chr05_G022722
PS_chr05_G022723.mRNA.1	PS_chr05_G022723
PS_chr05_G022724.mRNA.2	PS_chr05_G022724
PS_chr05_G022725.mRNA.1	PS_chr05_G022725
PS_chr05_G022726.mRNA.1	PS_chr05_G022726
PS_chr05_G022727.mRNA.1	PS_chr05_G022727
PS_chr05_G022728.mRNA.1	PS_chr05_G022728
PS_chr05_G022729.mRNA.1	PS_chr05_G022729
PS_chr05_G022730.mRNA.1	PS_chr05_G022730
PS_chr05_G022731.mRNA.1	PS_chr05_G022731
PS_chr05_G022732.mRNA.1	PS_chr05_G022732
PS_chr05_G022733.mRNA.1	PS_chr05_G022733
PS_chr05_G022734.mRNA.1	PS_chr05_G022734
PS_chr05_G022735.mRNA.1	PS_chr05_G022735
PS_chr05_G022736.mRNA.1	PS_chr05_G022736
PS_chr05_G022737.mRNA.1	PS_chr05_G022737
PS_chr05_G022738.mRNA.1	PS_chr05_G022738
PS_chr05_G022739.mRNA.1	PS_chr05_G022739
PS_chr05_G022740.mRNA.1	PS_chr05_G022740
PS_chr05_G022741.mRNA.1	PS_chr05_G022741
PS_chr05_G022742.mRNA.1	PS_chr05_G022742
PS_chr05_G022743.mRNA.1	PS_chr05_G022743
PS_chr05_G022744.mRNA.1	PS_chr05_G022744
PS_chr05_G022745.mRNA.1	PS_chr05_G022745
PS_chr05_G022746.mRNA.1	PS_chr05_G022746
PS_chr05_G022747.mRNA.1	PS_chr05_G022747
PS_chr05_G022748.mRNA.1	PS_chr05_G022748
PS_chr05_G022749.mRNA.1	PS_chr05_G022749
PS_chr05_G022750.mRNA.2	PS_chr05_G022750
PS_chr05_G022752.mRNA.1	PS_chr05_G022752
PS_chr05_G022753.mRNA.1	PS_chr05_G022753
PS_chr05_G022754.mRNA.1	PS_chr05_G022754
PS_chr05_G022755.mRNA.1	PS_chr05_G022755
PS_chr05_G022756.mRNA.3	PS_chr05_G022756
PS_chr05_G022757.mRNA.1	PS_chr05_G022757
PS_chr05_G022758.mRNA.1	PS_chr05_G022758
PS_chr05_G022759.mRNA.1	PS_chr05_G022759
PS_chr05_G022761.mRNA.1	PS_chr05_G022761
PS_chr05_G022763.mRNA.1	PS_chr05_G022763
PS_chr05_G022764.mRNA.1	PS_chr05_G022764
PS_chr05_G022765.mRNA.1	PS_chr05_G022765
PS_chr05_G022767.mRNA.1	PS_chr05_G022767
PS_chr05_G022766.mRNA.3	PS_chr05_G022766
PS_chr05_G022768.mRNA.1	PS_chr05_G022768
PS_chr05_G022769.mRNA.1	PS_chr05_G022769
PS_chr05_G022772.mRNA.1	PS_chr05_G022772
PS_chr05_G022773.mRNA.1	PS_chr05_G022773
PS_chr05_G022774.mRNA.4	PS_chr05_G022774
PS_chr05_G022775.mRNA.1	PS_chr05_G022775
PS_chr05_G022776.mRNA.3	PS_chr05_G022776
PS_chr05_G022778.mRNA.1	PS_chr05_G022778
PS_chr05_G022779.mRNA.1	PS_chr05_G022779
PS_chr05_G022780.mRNA.1	PS_chr05_G022780
PS_chr05_G022781.mRNA.1	PS_chr05_G022781
PS_chr05_G022782.mRNA.1	PS_chr05_G022782
PS_chr05_G022783.mRNA.1	PS_chr05_G022783
PS_chr05_G022784.mRNA.1	PS_chr05_G022784
PS_chr05_G022785.mRNA.1	PS_chr05_G022785
PS_chr05_G022786.mRNA.1	PS_chr05_G022786
PS_chr05_G022787.mRNA.1	PS_chr05_G022787
PS_chr05_G022788.mRNA.1	PS_chr05_G022788
PS_chr05_G022789.mRNA.1	PS_chr05_G022789
PS_chr05_G022790.mRNA.1	PS_chr05_G022790
PS_chr05_G022791.mRNA.1	PS_chr05_G022791
PS_chr05_G022792.mRNA.1	PS_chr05_G022792
PS_chr05_G022793.mRNA.1	PS_chr05_G022793
PS_chr05_G022795.mRNA.1	PS_chr05_G022795
PS_chr05_G022796.mRNA.1	PS_chr05_G022796
PS_chr05_G022797.mRNA.1	PS_chr05_G022797
PS_chr05_G022798.mRNA.1	PS_chr05_G022798
PS_chr05_G022799.mRNA.1	PS_chr05_G022799
PS_chr05_G022800.mRNA.3	PS_chr05_G022800
PS_chr05_G022801.mRNA.1	PS_chr05_G022801
PS_chr05_G022803.mRNA.2	PS_chr05_G022803
PS_chr05_G022804.mRNA.1	PS_chr05_G022804
PS_chr05_G022806.mRNA.2	PS_chr05_G022806
PS_chr05_G022807.mRNA.1	PS_chr05_G022807
PS_chr05_G022809.mRNA.2	PS_chr05_G022809
PS_chr05_G022810.mRNA.3	PS_chr05_G022810
PS_chr05_G022811.mRNA.1	PS_chr05_G022811
PS_chr05_G022812.mRNA.1	PS_chr05_G022812
PS_chr05_G022814.mRNA.1	PS_chr05_G022814
PS_chr05_G022815.mRNA.1	PS_chr05_G022815
PS_chr05_G022816.mRNA.2	PS_chr05_G022816
PS_chr05_G022818.mRNA.1	PS_chr05_G022818
PS_chr05_G022819.mRNA.3	PS_chr05_G022819
PS_chr05_G022821.mRNA.1	PS_chr05_G022821
PS_chr05_G022823.mRNA.1	PS_chr05_G022823
PS_chr05_G022824.mRNA.1	PS_chr05_G022824
PS_chr05_G022825.mRNA.1	PS_chr05_G022825
PS_chr05_G022826.mRNA.1	PS_chr05_G022826
PS_chr05_G022827.mRNA.1	PS_chr05_G022827
PS_chr05_G022828.mRNA.1	PS_chr05_G022828
PS_chr05_G022829.mRNA.1	PS_chr05_G022829
PS_chr05_G022830.mRNA.1	PS_chr05_G022830
PS_chr05_G022831.mRNA.1	PS_chr05_G022831
PS_chr05_G022832.mRNA.1	PS_chr05_G022832
PS_chr05_G022833.mRNA.1	PS_chr05_G022833
PS_chr05_G022834.mRNA.1	PS_chr05_G022834
PS_chr05_G022835.mRNA.1	PS_chr05_G022835
PS_chr05_G022836.mRNA.1	PS_chr05_G022836
PS_chr05_G022837.mRNA.1	PS_chr05_G022837
PS_chr05_G022838.mRNA.3	PS_chr05_G022838
PS_chr05_G022839.mRNA.1	PS_chr05_G022839
PS_chr05_G022840.mRNA.1	PS_chr05_G022840
PS_chr05_G022841.mRNA.1	PS_chr05_G022841
PS_chr05_G022842.mRNA.1	PS_chr05_G022842
PS_chr05_G022843.mRNA.1	PS_chr05_G022843
PS_chr05_G022844.mRNA.1	PS_chr05_G022844
PS_chr05_G022845.mRNA.3	PS_chr05_G022845
PS_chr05_G022847.mRNA.2	PS_chr05_G022847
PS_chr05_G022848.mRNA.3	PS_chr05_G022848
PS_chr05_G022849.mRNA.2	PS_chr05_G022849
PS_chr05_G022850.mRNA.1	PS_chr05_G022850
PS_chr05_G022852.mRNA.3	PS_chr05_G022852
PS_chr05_G022853.mRNA.9	PS_chr05_G022853
PS_chr05_G022854.mRNA.2	PS_chr05_G022854
PS_chr05_G022855.mRNA.2	PS_chr05_G022855
PS_chr05_G022858.mRNA.2	PS_chr05_G022858
PS_chr05_G022859.mRNA.2	PS_chr05_G022859
PS_chr05_G022860.mRNA.2	PS_chr05_G022860
PS_chr05_G022861.mRNA.2	PS_chr05_G022861
PS_chr05_G022862.mRNA.1	PS_chr05_G022862
PS_chr05_G022863.mRNA.4	PS_chr05_G022863
